Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2264.84186926384,2346.08416204547,2511.65309588333,2670.41561399187,2725.33724817144,2842.0246258376,2885.89383987721,2965.30628143664,3148.97969597838,3244.58772756805,3464.2886286745,3844.15415745816,4129.9661200142,4434.5642184028,..
Benin,BEN,Gini index,SI.POV.GINI,43.4,..,..,..,47.6,..,..,37.9,..,..,34.4,..,..,..,..
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.462,58.559,58.863,59.008,59.123,59.283,59.528,59.71,59.888,60.154,59.61,60.475,60.774,..,..
Benin,BEN,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,67.914803193234,72.1568669808777,72.0544967541651,71.8640828796608,74.3508582501171,102.893474066563,106.024654734519,101.821094387433,94.5345382639284,98.9993975427191,101.015106997401,114.62700640552,137.830811615783,..,..
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,70911.542318725,69149.0500342682,71519.6398526584,71988.5383627822,75943.4642970922,80412.1834895484,85680.9701917217,85978.2177227009,90984.4576708318,85146.4006275696,92319.6714861219,105142.409967183,114372.049927372,124252.835702586,..
Bermuda,BMU,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.651,79.847,80.016,80.199,80.338,80.476,80.686,80.986,81.251,81.456,81.745,82.062,82.309,..,..
Bermuda,BMU,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7935.46760973088,8577.40731901004,8666.91063590069,9323.39448941386,10213.8139608922,11273.2823807676,11677.4142659974,11969.5615003305,12909.1009840399,12475.048003428,13458.812666743,15063.8105763072,16215.1520073153,..,..
Bhutan,BTN,Gini index,SI.POV.GINI,..,38.8,..,..,..,..,37.4,..,..,..,..,28.5,..,..,..
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.28,69.759,70.161,70.504,70.797,71.119,71.413,71.711,72.005,72.253,72.448,72.754,72.975,..,..
Bhutan,BTN,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,221.313257421055,262.178395609454,279.463154654462,285.284815859058,334.923831761654,348.426859235791,352.284445101614,359.108306659599,417.631234872107,524.292575542293,608.619077870764,555.564557265719,676.701597399206,..,..
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6597.96217604867,7183.82602452107,8068.72017230776,8628.94266128598,8757.31777115406,9242.02728323599,10420.3923250933,10758.4075594003,11005.3541169156,9580.98962081658,11202.4409836707,12306.7293128695,12892.1249578777,12877.6351184372,..
Bolivia,BOL,Gini index,SI.POV.GINI,46.1,46.6,47.6,47.8,46.7,45.2,44.6,42.6,41.6,43.6,40.9,41.2,42.1,..,..
