country,country_code,year,health_expenditure_ppp,gdp_per_capita_ppp,gini,life_expectancy,log_gdp_per_capita,income_group
"Korea, Rep.",KOR,2024,5081.41151607382,61051.3492502498,,,11.019470580035826,High income
Kosovo,XKX,2024,,17864.4160145118,,,9.790566081118953,Upper-middle income
Kuwait,KWT,2024,,52443.5969223626,,,10.867493526722214,High income
Kyrgyz Republic,KGZ,2024,,8012.45464442194,,,8.988752440610337,Lower-middle income
Lao PDR,LAO,2024,,9775.82817381023,,,9.18766810492817,Lower-middle income
Late-demographic dividend,LTE,2024,,28317.7912539744,,,10.25124555232168,Upper-middle income
Latin America & Caribbean,LCN,2024,,23104.5519806078,,,10.04778493253458,Upper-middle income
Latin America & Caribbean (excluding high income),LAC,2024,,21961.1900211742,,,9.997032084554775,Upper-middle income
Latin America & the Caribbean (IDA & IBRD countries),TLA,2024,,22984.6879888508,,,10.042583533593083,Upper-middle income
Latvia,LVA,2024,,43394.2732822314,,,10.678082759359745,Upper-middle income
Least developed countries: UN classification,LDC,2024,,4463.99564225243,,,8.403799527862738,Low income
Lesotho,LSO,2024,,3001.16311951334,,,8.006755199015947,Low income
Liberia,LBR,2024,,1871.04406164262,,,7.534251875779064,Low income
Libya,LBY,2024,,14303.8087736988,,,9.568281128594823,Upper-middle income
Lithuania,LTU,2024,4127.40238575885,55285.8991934304,,,10.920273167535024,High income
Low & middle income,LMY,2024,,15795.1303233276,,,9.667456964125073,Upper-middle income
Low income,LIC,2024,,2353.04878368784,,,7.763467121061464,Low income
Lower middle income,LMC,2024,,10225.4422860088,,,9.2326342353309,Lower-middle income
Luxembourg,LUX,2024,8807.5855816904,155941.288210791,,,11.957234857768235,High income
"Macao SAR, China",MAC,2024,,126959.917138906,,,11.751626702544957,High income
Madagascar,MDG,2024,,1883.5374311384,,,7.540906900116681,Low income
Malawi,MWI,2024,,1857.61756950305,,,7.527050069072375,Low income
Malaysia,MYS,2024,,38779.2830442253,,,10.565641440854346,Upper-middle income
Maldives,MDV,2024,,26182.7831570917,,,10.172857342334996,Upper-middle income
Mali,MLI,2024,,3314.77332231959,,,8.106144520891213,Low income
Malta,MLT,2024,,69863.7461313457,,,11.154302140332039,High income
Marshall Islands,MHL,2024,,8194.63854758403,,,9.011235383748108,Lower-middle income
Mauritania,MRT,2024,,7368.75275290214,,,8.905003737877081,Lower-middle income
Mauritius,MUS,2024,,31839.7597535524,,,10.368471094501222,Upper-middle income
Mexico,MEX,2024,,26185.3564713253,,,10.172955620190727,Upper-middle income
"Micronesia, Fed. Sts.",FSM,2024,,4346.84249671875,,,8.377204997693486,Low income
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2024,,16261.9453885649,,,9.696583018538364,Upper-middle income
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2024,,11271.5643550071,,,9.330038404411411,Lower-middle income
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2024,,11220.6069981166,,,9.32550727726724,Lower-middle income
Middle income,MIC,2024,,17212.4680594702,,,9.753389287376232,Upper-middle income
Moldova,MDA,2024,,18614.9880691203,,,9.831722345378344,Upper-middle income
Mongolia,MNG,2024,,19144.7261368498,,,9.859782559126387,Upper-middle income
Montenegro,MNE,2024,,34062.7577672706,,,10.43595991885647,Upper-middle income
Morocco,MAR,2024,,10415.1240234375,,,9.251014261779476,Lower-middle income
Mozambique,MOZ,2024,,1705.37919520416,,,7.441542766869258,Low income
Myanmar,MMR,2024,,5997.46516323715,,,8.69909218614961,Lower-middle income
Namibia,NAM,2024,,11686.6020661881,,,9.366198342084031,Lower-middle income
Nauru,NRU,2024,,14173.0081043154,,,9.55909459698043,Upper-middle income
Nepal,NPL,2024,,5736.62134332704,,,8.654625699866004,Lower-middle income
Netherlands,NLD,2024,8194.56817525471,86173.6290841738,,,11.364119482748793,High income
New Zealand,NZL,2024,5575.77384303509,55551.143658637,,,10.925059382770105,High income
Nicaragua,NIC,2024,,8708.79983051626,,,9.07208926821873,Lower-middle income
Niger,NER,2024,,2049.93305251019,,,7.6255624142870895,Low income
Nigeria,NGA,2024,,9086.87550609627,,,9.114586399380993,Lower-middle income
North America,NAC,2024,,83521.8385798973,,,11.332863416522365,High income
North Macedonia,MKD,2024,,26995.4292563497,,,10.203422843853975,Upper-middle income
Norway,NOR,2024,,102037.526800237,,,11.533095934410436,High income
OECD members,OED,2024,,61972.8881275386,,,11.034452280123327,High income
Oman,OMN,2024,,41740.1658530012,,,10.639219154102003,Upper-middle income
Other small states,OSS,2024,,29352.5557509486,,,10.287134899862025,Upper-middle income
Pacific island small states,PSS,2024,,8214.97072957755,,,9.013713467419075,Lower-middle income
Pakistan,PAK,2024,,6252.11543199559,,,8.740675154581991,Lower-middle income
Panama,PAN,2024,,41369.422541499,49.7,,10.630297300970293,Upper-middle income
Papua New Guinea,PNG,2024,,4874.6899553589,,,8.491811782508714,Lower-middle income
Paraguay,PRY,2024,,18523.6810153,44.2,,9.826805247375718,Upper-middle income
Peru,PER,2024,,17802.4182498972,40.1,,9.787089583788283,Upper-middle income
Philippines,PHL,2024,,11794.1375488492,,,9.37535786910472,Lower-middle income
Poland,POL,2024,3938.95472285932,51262.5105756884,,,10.844714976004871,High income
Portugal,PRT,2024,4928.03132034767,51679.8883807527,,,10.852823978638995,High income
Post-demographic dividend,PST,2024,,68080.5965373812,,,11.128447525508825,High income
Pre-demographic dividend,PRE,2024,,5268.74924891947,,,8.569548279196319,Lower-middle income
Puerto Rico (US),PRI,2024,,50247.8492461676,,,10.82472302393404,High income
Qatar,QAT,2024,,126046.354855612,,,11.744405013956053,High income
Romania,ROU,2024,,49076.5399383138,,,10.801136397935354,High income
Russian Federation,RUS,2024,,47404.96484375,,,10.766482245736976,High income
Rwanda,RWA,2024,,3710.86040434596,,,8.219019043631421,Low income
Samoa,WSM,2024,,8736.81606772538,,,9.075301107967691,Lower-middle income
Sao Tome and Principe,STP,2024,,6241.85614464638,,,8.739032876209238,Lower-middle income
Saudi Arabia,SAU,2024,,71375.3727890285,,,11.175708169908294,High income
Senegal,SEN,2024,,5070.6486207418,,,8.531224021487658,Lower-middle income
Serbia,SRB,2024,,32832.1763221005,,,10.39916429895037,Upper-middle income
Seychelles,SYC,2024,,33238.5800343754,,,10.411466529476156,Upper-middle income
Sierra Leone,SLE,2024,,3522.30588009119,,,8.16687113369254,Low income
Singapore,SGP,2024,,150689.301625826,,,11.922975390892375,High income
Sint Maarten (Dutch part),SXM,2024,,53768.6573945662,,,10.892446000077182,High income
Slovak Republic,SVK,2024,,48132.356430543,,,10.781709920802449,High income
Slovenia,SVN,2024,5424.8881250739,57186.3713538174,,,10.95407088593359,High income
Small states,SST,2024,,28616.3865765196,,,10.261734789951591,Upper-middle income
Solomon Islands,SLB,2024,,2674.89311339831,,,7.8916647009236724,Low income
"Somalia, Fed. Rep.",SOM,2024,,1601.96466602339,,,7.378986071219889,Low income
South Africa,ZAF,2024,,15456.1989933658,,,9.645765431198987,Upper-middle income
South Asia,SAS,2024,,10973.7101715805,,,9.303257706807292,Lower-middle income
South Asia (IDA & IBRD),TSA,2024,,10973.7101715804,,,9.303257706807283,Lower-middle income
Spain,ESP,2024,,57965.2948138837,,,10.967599745158742,High income
Sri Lanka,LKA,2024,,15632.5924849848,,,9.657113275623203,Upper-middle income
St. Kitts and Nevis,KNA,2024,,34846.6035342828,,,10.458710951877709,Upper-middle income
St. Lucia,LCA,2024,,27567.3280779839,,,10.224386585211244,Upper-middle income
St. Vincent and the Grenadines,VCT,2024,,21272.0800673662,,,9.965150696895003,Upper-middle income
Sub-Saharan Africa,SSF,2024,,5517.42113558704,,,8.615665844523898,Lower-middle income
Sub-Saharan Africa (IDA & IBRD countries),TSS,2024,,5517.42113558704,,,8.615665844523898,Lower-middle income
Sub-Saharan Africa (excluding high income),SSA,2024,,5768.0270956302,,,8.660085376531804,Lower-middle income
Sudan,SDN,2024,,2115.81616210938,,,7.657195909293411,Low income
Suriname,SUR,2024,,21800.5265989822,,,9.989689404402046,Upper-middle income
Sweden,SWE,2024,7770.39673557948,71844.9129880579,,,11.182265088556134,High income
Switzerland,CHE,2024,,96497.6947971323,,,11.477274398929133,High income
Tajikistan,TJK,2024,,5405.98011619139,36.1,,8.595261048729627,Lower-middle income
Tanzania,TZA,2024,,4220.79638671875,,,8.347779106457132,Low income
Thailand,THA,2024,,24712.0658575135,,,10.115046899596223,Upper-middle income
Timor-Leste,TLS,2024,,4422.77882172399,,,8.394523470225018,Low income
Togo,TGO,2024,,3365.45809007306,,,8.12131936656475,Low income
Trinidad and Tobago,TTO,2024,,36328.5130065685,,,10.500358194197803,Upper-middle income
Tunisia,TUN,2024,,14521.0080937638,,,9.583351713913943,Upper-middle income
Turkiye,TUR,2024,,45639.0192735944,,,10.728518315436512,High income
Turkmenistan,TKM,2024,,21213.0862501953,,,9.962373546176275,Upper-middle income
